Soru_ID,Baslik,Aciklama_No,Ornek_No,Ornek_Tipi,Senaryo,Soru,Kategori,Sik_Sayisi,A,B,C,D,Dogru_Sik,Dogru_Cevap,Dogru_Cevap_Gerekce,Kaynak_Yorum
136,Madde 18/19 Mola / Oyuncu değişikliği,18/19-1,18/19-26,Örnek,"Madde 18/19 Mola / Oyuncu değişikliği | 18/19-1
Açıklama: Bir çeyrek ya da uzatma için oyun süresinin başlamasından önce veya bir çeyrek ya da uzatma için oyun süresinin bitmesinden sonra bir mola verilemez. Birinci çeyrek için oyun süresinin başlamasından önce ya da maç için oyun süresinin bitmesinden sonra bir oyuncu değişikliği yapılamaz. Çeyrekler ve uzatmalar arasındaki oyun araları sırasında herhangi bir oyuncu değişikliği yapılabilir.
Örnek 18/19-26: B takımı başantrenörü bir mola ister. A1, B1’e bir sportmenlik dışı faul yapar. B takımına bu sırada mola verilir. Mola sırasında A2’ye bir teknik faul verilir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,free_throws,3,1 serbest atış,0 serbest atış,2 serbest atış,,A,1 serbest atış,,"Moladan sonra, herhangi bir B takımı oyuncusu kimse dizilmeden 1 serbest atış kullanacaktır. Daha sonra B1, kimse dizilmeden 2 serbest atış kullanacaktır. Oyun, B takımının ön sahasındaki topu oyuna sokma çizgisinden topu oyuna sokmasıyla devam edecektir. B takımının şut saatinde 14 saniyesi olacaktır."
137,Madde 23 Saha dışı oyuncu ve saha dışı top,23-1,23-2,Örnek,"Madde 23 Saha dışı oyuncu ve saha dışı top | 23-1
Açıklama: Top, sınır çizgisi üzerinde veya dışında bulunan bir oyuncunun dokunması veya topa temas etmesi nedeniyle saha dışına giderse, bu oyuncu topun saha dışına çıkmasına neden olur.
Örnek 23-2: Kenar çizgiye yakın top ellerinde olan A1, B1 tarafından yakından savunulmaktadır. A1, bir ayağı saha dışında olan B1’e vücudu ile temas eder.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"A1'in bu hareketi kurallara uygundur Bir oyuncu, vücudunun herhangi bir kısmı bir oyuncudan başka bir şeyle temas ettiğinde saha dışındadır. Oyun devam edecekt…","A1'in bu hareketi kurallara uygun değildir Bir oyuncu, vücudunun herhangi bir kısmı bir oyuncudan başka bir şeyle temas ettiğinde saha dışındadır. Oyun devam edecekt…",,,A,"A1'in bu hareketi kurallara uygundur Bir oyuncu, vücudunun herhangi bir kısmı bir oyuncudan başka bir şeyle temas ettiğinde saha dışındadır. Oyun devam edecekt…",,"A1'in bu hareketi kurallara uygundur Bir oyuncu, vücudunun herhangi bir kısmı bir oyuncudan başka bir şeyle temas ettiğinde saha dışındadır. Oyun devam edecektir."
138,Madde 23 Saha dışı oyuncu ve saha dışı top,23-1,23-3,Örnek,"Madde 23 Saha dışı oyuncu ve saha dışı top | 23-1
Açıklama: Top, sınır çizgisi üzerinde veya dışında bulunan bir oyuncunun dokunması veya topa temas etmesi nedeniyle saha dışına giderse, bu oyuncu topun saha dışına çıkmasına neden olur.
Örnek 23-3: Kenar çizgiye yakın, top ellerinde olan A1, B1 ve B2 tarafından yakından savunulmaktadır. A1, bir ayağı saha dışında olan B1'e topla temas eder.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,Top A takımına verilir (oyuna sokma),Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,Top A takımına verilir (oyuna sokma),,"Bu, B1 tarafından yapılan bir saha dışı ihlalidir. Top, saha dışındaki bir oyuncuya temas ettiğinde saha dışına çıkmıştır. Oyun, A takımı tarafından doğrudan arkalığın arkası hariç, topun saha dışına çıktığı en yakın yerden topu oyuna sokmasıyla devam edecektir. A takımının şut saatinde kalan süre kadar zamanı olacaktır."
139,Madde 23 Saha dışı oyuncu ve saha dışı top,23-1,23-4,Örnek,"Madde 23 Saha dışı oyuncu ve saha dışı top | 23-1
Açıklama: Top, sınır çizgisi üzerinde veya dışında bulunan bir oyuncunun dokunması veya topa temas etmesi nedeniyle saha dışına giderse, bu oyuncu topun saha dışına çıkmasına neden olur.
Örnek 23-4: A1, hakem masasının önünde kenar çizgisine yakın dripling yapmaktadır. Top, sahadan sekerek oyuncu değişikliği sandalyesinde oturan B6'nın dizine temas eder ve sonrasında tekrardan sahadaki A1'e geri gelir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Top ilgili takıma verilir (oyuna sokma),Yukarıdakilerin hiçbiri,,,A,Top ilgili takıma verilir (oyuna sokma),,"Top, saha dışı olan B6'ya temas ettiğinde saha dışına çıkmıştır. Topun saha dışına çıkmasına, saha dışına çıkmadan önce topa son dokunan A1 neden olmuştur. Oyun B takımı tarafından, doğrudan arkalığın arkası hariç, topun saha dışına çıktığı en yakın yerden topu oyuna sokmasıyla devam edecektir."
140,Madde 24 Dripling,24-1,24-2,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-2: A1 henüz dripling yapmamıştır ve kasıtlı olarak topu arkalığa doğru attığında ve başka bir oyuncuya dokunmadan önce topu tekrar yakaladığında veya temas ettiğinde hareketsiz durmaktadır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.","A1’in hareketi kurallara uygun değildir. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.",,,A,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.",,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir."
141,Madde 24 Dripling,24-1,24-3,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-3: A1, devam eden hareketindeyken ya da hareketsiz dururken driplingini tamamlandıktan sonra kasıtlı olarak topu arkalığına doğru atar. A1 aşağıdaki durumlarda topu tekrar yakalar veya topa temas eder. (a) Top sahada seker ve driplinge başlar. (b) Başka bir oyuncuya temas etmeden önce.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Çift dripling ihlali,Yukarıdakilerin hiçbiri,,,A,Çift dripling ihlali,,"(a) Bu A1’in yaptığı çift dripling ihlalidir. A1, ilk driplingi bitirdikten sonra ikinci kez dripling yapamayacaktır. (b) A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ancak yeni bir driplinge başlayamaz. İlk driplingi bitirdikten sonra ikinci kez dripling yapmayacağı için bu A1'in çift dripling ihlalidir."
142,Madde 24 Dripling,24-1,24-4,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-4: A1’in sahadan attığı şut çembere temas etmez. A1 topu yakalar ve kasıtlı olarak arkalığa doğru atar, sonrasında başka bir oyuncuya dokunmadan önce topu tekrar yakalar veya topa temas eder.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.","A1’in hareketi kurallara uygun değildir. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.",,,A,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir.",,"A1’in hareketi kurallara uygundur. A1 topu yakaladıktan sonra şut atabilir, pas verebilir ya da driplinge başlayabilir."
143,Madde 24 Dripling,24-1,24-5,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-5: A1 dripling yapar ve kurallara uygun olarak durur. Devamında: (a) A1 daha sonra dengesini kaybeder ve topu el ya da ellerinde tutarken pivot ayağını hareket ettirmeden bir veya iki kez topla zemine temas eder. (b) A1 daha sonra pivot ayağını hareket ettirmeden topu bir elinden diğerine atar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, pivot ayağını hareket ettirmemiştir.","Her iki durumda da A1’in bu hareketi kurallara uygun değildir. A1, pivot ayağını hareket ettirmemiştir.",,,A,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, pivot ayağını hareket ettirmemiştir.",,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, pivot ayağını hareket ettirmemiştir."
144,Madde 24 Dripling,24-1,24-6,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-6: A1, aşağıdaki durumlarda driplinge başlar: (a) Topu rakibinin üzerinden atarak. (b) Topu kendisinden birkaç metre uzağa atarak. Top oyun sahasına temas eder ve ardından A1 driplingine devam eder.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, driplinginde topa tekrar temas etmeden önce top oyun sahasına temas etmiştir.","Her iki durumda da A1’in bu hareketi kurallara uygun değildir. A1, driplinginde topa tekrar temas etmeden önce top oyun sahasına temas etmiştir.",,,A,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, driplinginde topa tekrar temas etmeden önce top oyun sahasına temas etmiştir.",,"Her iki durumda da A1’in bu hareketi kurallara uygundur. A1, driplinginde topa tekrar temas etmeden önce top oyun sahasına temas etmiştir."
145,Madde 24 Dripling,24-1,24-7,Örnek,"Madde 24 Dripling | 24-1
Açıklama: Bir oyuncunun kasıtlı olarak topu rakibinin ya da kendi arkalığına atması dripling değildir.
Örnek 24-7: A1, driplingini bitirir ve kasıtlı olarak topu B1'in bacağına atar. A1 topu yakalar ve tekrar driplinge başlar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Çift dripling ihlali,Yukarıdakilerin hiçbiri,,,A,Çift dripling ihlali,,Bu A1'in çift dripling ihlalidir. Topa B1 tarafından temas edilmediği için A1'in driplingi sona ermiştir. B1’e temas eden toptu. A1 tekrar dripling yapamaz.
146,Madde 25 Yürüme,25-1,25-2,Örnek,"Madde 25 Yürüme | 25-1
Açıklama: Sahada uzanarak yatan bir oyuncu topun kontrolünü kazanırsa kurallara uygundur. Topu tutan bir oyuncu sahaya düşerse bu da kurallara uygundur. Bir oyuncu topla zemine düştükten sonra biraz kayarsa bu durum da kurallara uygundur. Ancak oyuncu, topu tutarken yuvarlanır ya da ayağa kalkma girişiminde bulunursa bu bir ihlaldir.
Örnek 25-2: A1’in top ellerindeyken; (a) dengesini kaybeder ve sahaya düşer. (b) sahaya düştükten sonra A1'in düşme hızı o oyuncunun zeminde kaymasına neden olur.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Yürüme ihlali (top kaybı),Yukarıdakilerin hiçbiri,,,A,Yürüme ihlali (top kaybı),,"Her iki durumda da A1’in bu hareketi kurallara uygundur. Sahaya düşmesi bir yürüme ihlali değildir. Ancak A1, savunmadan kaçmak için top ellerindeyken yuvarlanır ya da ayağa kalkma girişiminde bulunursa bu bir yürüme ihlali olur."
147,Madde 25 Yürüme,25-1,25-3,Örnek,"Madde 25 Yürüme | 25-1
Açıklama: Sahada uzanarak yatan bir oyuncu topun kontrolünü kazanırsa kurallara uygundur. Topu tutan bir oyuncu sahaya düşerse bu da kurallara uygundur. Bir oyuncu topla zemine düştükten sonra biraz kayarsa bu durum da kurallara uygundur. Ancak oyuncu, topu tutarken yuvarlanır ya da ayağa kalkma girişiminde bulunursa bu bir ihlaldir.
Örnek 25-3: A1, sahada zemininde uzanarak yatarken topun kontrolünü kazanır. A1, daha sonra: (a) Topu A2’ye pas atar. (b) Sahada uzanarak yatarken driplinge başlar. (c) Topla dripling yaparken ayağa kalkma girişiminde bulunur. (d) Topu tutmaya devam ederken ayağa kalkma girişiminde bulunur.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Yürüme ihlali (top kaybı),Yukarıdakilerin hiçbiri,,,A,Yürüme ihlali (top kaybı),,"(a), (b) ve (c) A1’in bu hareketi kurallara uygundur. (d) A1 tarafından yapılmış bir yürüme ihlalidir."
148,Madde 25 Yürüme,25-4,25-5,Örnek,"Madde 25 Yürüme | 25-4
Açıklama: Bir oyuncu driplingini bitirdikten ya da topun kontrolünü kazandıktan sonra aynı ayağıyla veya her iki ayağıyla arka arkaya sahaya temas edemez.
Örnek 25-5: A1, top ellerindeyken driplingini bitirir. Devam eden hareketinde A1 sol ayağı ile sıçrar, sol ayağı ile sahaya temas eder, sonra sağ ayağına iner ve sayı amacıyla şut atma girişiminde bulunur.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,Yürüme ihlali (top kaybı),Yukarıdakilerin hiçbiri,,,A,Yürüme ihlali (top kaybı),,"Bu, A1 tarafından yapılmış bir yürüme ihlalidir. Bir oyuncu driplingini bitirdikten sonra aynı ayağıyla arka arakaya sahaya temas edemez."
149,Madde 25 3 saniye,26-1,26-2,Örnek,"Madde 25 3 saniye | 26-1
Açıklama: Bir oyuncunun, 3 saniye ihlalinden kaçınmak için dip çizgiden oyun sahasını terk etmesi ve ardından kısıtlamalı alana tekrar girmesi bir ihlaldir.
Örnek 26-2: Kısıtlamalı alanda 3 saniyeden daha az kalan A1, 3 saniye ihlalinden kaçınmak için dip çizgiden sahanın dışına çıkar ve daha sonra kısıtlamalı alana tekrar girer.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"A1, 3 saniye ihlali yapmıştır.",Yukarıdakilerin hiçbiri,,,A,"A1, 3 saniye ihlali yapmıştır.",,"A1, 3 saniye ihlali yapmıştır."
150,Madde 25 3 saniye,26-3,26-4,Örnek,"Madde 25 3 saniye | 26-3
Açıklama: Kendi takımı ön sahada canlı bir topu kontrol ederken ve oyun saati çalışırken, bu takımın bir oyuncusu rakibinin kısıtlamalı alanında art arda 3 saniyeden fazla kalamaz.
Örnek 26-4: Topu sayı amacıyla elden çıkardığında A1 2.5 saniye boyunca kısıtlamalı alanda bulunmaktadır. Top arkalığa veya çembere temas etmez ve A1 ribaundu alır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,A1’in bu hareketi kurallara uygundur. A1 sayı amacıyla topu elinden çıkardığında A takımının top kontrolünü sona ermiştir. A1'in ribaundu ile A takımı topun ko…,Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,A1’in bu hareketi kurallara uygundur. A1 sayı amacıyla topu elinden çıkardığında A takımının top kontrolünü sona ermiştir. A1'in ribaundu ile A takımı topun ko…,,A1’in bu hareketi kurallara uygundur. A1 sayı amacıyla topu elinden çıkardığında A takımının top kontrolünü sona ermiştir. A1'in ribaundu ile A takımı topun kontrolünü yeniden kazanmıştır.
151,Madde 25 3 saniye,26-3,26-5,Örnek,"Madde 25 3 saniye | 26-3
Açıklama: Kendi takımı ön sahada canlı bir topu kontrol ederken ve oyun saati çalışırken, bu takımın bir oyuncusu rakibinin kısıtlamalı alanında art arda 3 saniyeden fazla kalamaz.
Örnek 26-5: Top ön sahada, topu oyuna sokacak olan A1’in ellerindeyken A2, 3 saniyeden fazla rakibin kısıtlamalı alanında bulunmaktadır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,"A2’in bu hareketi kurallara uygundur. A takımı topun kontrolüne sahiptir, ancak oyun saati henüz başlamamıştır.",Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,"A2’in bu hareketi kurallara uygundur. A takımı topun kontrolüne sahiptir, ancak oyun saati henüz başlamamıştır.",,"A2’in bu hareketi kurallara uygundur. A takımı topun kontrolüne sahiptir, ancak oyun saati henüz başlamamıştır."
152,Madde 28 8 saniye,28-1,28-2,Örnek,"Madde 28 8 saniye | 28-1
Açıklama: Şut saati bir hava atışı durumu nedeniyle durdurulur. Hava atışı durumu sonucunda pozisyon sırasına göre topun oyuna sokulması, kendi geri sahasında topu kontrol eden takıma verilirse 8 saniye süresi devam edecektir.
Örnek 28-2: Bir tutulmuş top durumu oluştuğunda A1, 5 saniye boyunca kendi geri sahasında dripling yapmıştır. A Takımı bir sonraki pozisyon sırasına göre topu oyuna sokma hakkına sahiptir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,A takımının topu ön sahasına geçirmesi için sadece 3 saniyesi olacaktır.,Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,A takımının topu ön sahasına geçirmesi için sadece 3 saniyesi olacaktır.,,A takımının topu ön sahasına geçirmesi için sadece 3 saniyesi olacaktır.
153,Madde 28 8 saniye,28-3,28-4,Örnek,"Madde 28 8 saniye | 28-3
Açıklama: Geri sahadan ön sahaya yapılan dripling sırasında, dripling yapan oyuncunun her iki ayağı ve top tamamen ön sahayla temas halindeyken top, bir takımın ön sahasındadır.
Örnek 28-4: A1’in ayakları orta çizginin iki yanındadır ve geri sahasındaki A2’den bir pas alır. A1 daha sonra topu A2’ye pas olarak atar. A2; (a) hala geri sahasındadır. (b) ayakları orta çizginin iki yanındadır. (c) ayakları orta çizginin iki yanındadır. A2, kendi geri sahasında driplinge başlar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,"Tüm durumlarda bu A takımının kurallara uygun bir oyundur. A1’in her iki ayağı da tamamen ön sahaya temas etmemektedir ve bu nedenle A1’in, topu geri sahasına …",Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,"Tüm durumlarda bu A takımının kurallara uygun bir oyundur. A1’in her iki ayağı da tamamen ön sahaya temas etmemektedir ve bu nedenle A1’in, topu geri sahasına …",,"Tüm durumlarda bu A takımının kurallara uygun bir oyundur. A1’in her iki ayağı da tamamen ön sahaya temas etmemektedir ve bu nedenle A1’in, topu geri sahasına atma hakkı vardır. 8 saniye süresi devam edecektir."
154,Madde 28 8 saniye,28-3,28-5,Örnek,"Madde 28 8 saniye | 28-3
Açıklama: Geri sahadan ön sahaya yapılan dripling sırasında, dripling yapan oyuncunun her iki ayağı ve top tamamen ön sahayla temas halindeyken top, bir takımın ön sahasındadır.
Örnek 28-5: A1 kendi geri sahasında dripling yapar ve hala dripling yapmaya devam ederken ileriye doğru gidiş hareketini durdurur. Bu sırada A1: (a) Ayakları, orta çizginin iki yanında durmaktadır. (b) Topla geri sahasında dripling yaparken, her iki ayağı da ön sahasındadır. (c) Topla geri sahasında dripling yaparken, her iki ayağı da ön sahasındayken A1, her iki ayağıyla geri sahasına döner. (d) Topla ön sahasında dripling yaparken, her İki ayağı da geri sahasındadır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,statement,2,"Tüm durumlarda bu, A1’in kurallara uygun bir hareketidir. Dripling yapan A1, hem her iki ayağı hem de top, tamamen ön sahadaki zemine temas edene kadar geri sa…",Yukarıdakilerin hiçbiri,,,A,"Tüm durumlarda bu, A1’in kurallara uygun bir hareketidir. Dripling yapan A1, hem her iki ayağı hem de top, tamamen ön sahadaki zemine temas edene kadar geri sa…",,"Tüm durumlarda bu, A1’in kurallara uygun bir hareketidir. Dripling yapan A1, hem her iki ayağı hem de top, tamamen ön sahadaki zemine temas edene kadar geri sahasında olmaya devam edebilir. 8 saniye süresi devam edecektir."
155,Madde 28 8 saniye,28-6,28-7,Örnek,"Madde 28 8 saniye | 28-6
Açıklama: 8 saniye periyodu, kalan süre ile devam ettiğinde ve daha önce topu kontrol eden aynı takıma geri sahasından topu oyuna sokma hakkı verildiğinde hakem topu, oyuna sokacak olan oyuncuya verirken, 8 saniye periyodunda kalan süreyi topu oyuna sokacak olan oyuncuya bildirecektir.
Örnek 28-7: A1, geri sahasında 6 saniye boyunca dripling yaptığında, bir çift faul verilir: (a) Geri sahada (b) Ön sahada.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,Top A takımına verilir (oyuna sokma),Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,Top A takımına verilir (oyuna sokma),,"(a) Oyun, A takımı tarafından geri sahasında, çift faulün olduğu en yakın yerden topu oyuna sokmasıyla devam edecektir. Hakem, topu oyuna sokan A takımının topu oyuna sokacak olan oyuncusuna topu kendi ön sahasına götürebilmesi için 2 saniyesi olduğunu bildirecektir. (b) Oyun, A takımı tarafından ön sahasında, çift faulün olduğu en yakın yerden topu oyuna sokmasıyla devam edecektir."
156,Madde 28 8 saniye,28-6,28-8,Örnek,"Madde 28 8 saniye | 28-6
Açıklama: 8 saniye periyodu, kalan süre ile devam ettiğinde ve daha önce topu kontrol eden aynı takıma geri sahasından topu oyuna sokma hakkı verildiğinde hakem topu, oyuna sokacak olan oyuncuya verirken, 8 saniye periyodunda kalan süreyi topu oyuna sokacak olan oyuncuya bildirecektir.
Örnek 28-8: B1 topu, A takımının geri sahasında saha dışına tiplediğinde A1, geri sahasında 4 saniye dripling yapmıştır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,Top A takımına verilir (oyuna sokma),Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,Top A takımına verilir (oyuna sokma),,"Oyun A takımı tarafından kendi geri sahasında, topun saha dışına çıktığı en yakın yerden topu oyuna sokmasıyla devam edecektir. Hakem, A takımının topu oyuna sokacak olan oyuncusuna topu ön sahasına götürebilmesi için 4 saniyesi olduğunu bildirecektir."
157,Madde 28 8 saniye,28-9,28-10,Örnek,"Madde 28 8 saniye | 28-9
Açıklama: Oyun, bir hakem tarafından her iki takımı da ilgilendirmeyen herhangi bir geçerli nedenle durdurulursa ve hakemlerin değerlendirmesine göre rakipler dezavantajlı bir duruma düşerse, 8 saniye süresi devam edecektir.
Örnek 28-10: Dördüncü çeyrekte oyun saatinde 25 saniye kala ve skor A 72 – B 72 iken A takımı topun kontrolünü kazanır. Oyun, hakemler tarafından aşağıdaki nedenlerle durdurulduğunda A1 4 saniye boyunca kendi geri sahasında dripling yapmıştır: (a) Oyun saati ya da şut saati çalışmadığı ya da başlamadığı için. (b) Sahaya bir şişe atıldığı için. (c) Şut saati yanlışlıkla başa alındığı için.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,Top A takımına verilir (oyuna sokma),Top A takımında (A oyuna sokar),Top B takımında (B oyuna sokar),,A,Top A takımına verilir (oyuna sokma),,"Tüm durumlarda oyun, A takımının kendi geri sahasından 8 saniye periyodunda 4 saniye süre kalacak şekilde topu oyuna sokmasıyla devam edecektir. Eğer oyun, yeni bir 8 saniye periyodu süresi ile devam ettirilirse, B takımı dezavantajlı duruma düşecektir."
158,Madde 28 8 saniye,28-11,28-12,Örnek,"Madde 28 8 saniye | 28-11
Açıklama: 8 saniye periyodu ihlalinden sonra topu oyuna sokma yeri, ihlalin meydana geldiği andaki yere göre belirlenir.
Örnek 28-12: A takımının 8 saniye periyodu aşağıdaki durumlarda sona erer ve ihlal meydana gelir. (a) A takımı topu, geri sahasında kontrol ederken. (b) Top, A1’in pasında, kendi geri sahasından ön sahasına doğru giderken havadadır.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,possession,3,Top B takımına verilir (oyuna sokma),Top B takımında (B oyuna sokar),Top A takımında (A oyuna sokar),,A,Top B takımına verilir (oyuna sokma),,"B takımının topu oyuna sokması, kendi ön sahasındaki; (a) Doğrudan arkalığın arkası hariç, 8 saniye ihlali meydana geldiğinde topun olduğu yerden. (b) Orta çizgiye en yakın yerden yapılacaktır. B takımının şut saatinde 14 saniyesi olacaktır."
159,Madde 29/50 Şut saati,29/50-1,29/50-2,Örnek,"Madde 29/50 Şut saati | 29/50-1
Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.
Örnek 29/50-2: Şut saati sesli işaret verdiğinde A1’in sayı amacıyla attığı şut havadadır. Top arkalığa temas eder ve sonra sahada yuvarlanır, topa önce B1, sonra da A2 tarafından temas edilir ve sonunda B2 tarafından top kontrol edilir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,shot_clock,3,Şut saati ihlali,Atış saati değişmez (devam eder),Atış saati 14 saniyeye ayarlanır,,A,Şut saati ihlali,,"Bu, A takımı tarafından yapılan bir şut saati ihlalidir. A1’in sahadan attığı şutta top çembere temas etmemiştir ve B takımı hemen ve açık bir şekilde topun kontrolünü kazanamamıştır."
160,Madde 29/50 Şut saati,29/50-1,29/50-3,Örnek,"Madde 29/50 Şut saati | 29/50-1
Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.
Örnek 29/50-3: A1’in sayı amacıyla attığı şut sırasında top arkalığa temas eder ancak çembere temas etmez. Daha sonra B1 tarafından topa temas edilir ancak kontrol edilemez, ardından A2 topun kontrolünü kazanır. Bu sırada şut saati sesli işaret verir.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,shot_clock,3,Şut saati ihlali,Atış saati değişmez (devam eder),Atış saati 14 saniyeye ayarlanır,,A,Şut saati ihlali,,"Bu, A takımı tarafından yapılan bir şut saati ihlalidir."
161,Madde 29/50 Şut saati,29/50-1,29/50-4,Örnek,"Madde 29/50 Şut saati | 29/50-1
Açıklama: Şut saati periyodunun bitmesine yakın, sayı amacıyla sahadan bir şut atılır ve top havadayken şut saati sesli işaret verir. • Eğer top çemberden içeri geçerse sayı geçerli sayılacaktır. • Eğer top çembere temas etmezse hakemler, rakip takımın hemen ve açık bir şekilde topun kontrolünü sağlayıp sağlayamadığını görmek için bekleyecektir. — Eğer rakip takım topun kontrolünü sağlarsa şut saati sesli işareti dikkate alınmayacaktır. — Eğer rakip takım topun kontrolünü sağlayamazsa bu bir ihlaldir. Top, doğrudan arkalığın arkası hariç, oyunun durdurulduğu en yakın yerden oyuna sokması için karşı takıma verilecektir.
Örnek 29/50-4: Bir şut saati periyodunun sonunda A1’in sayı amacıyla attığı şut sırasında, B1 tarafından kurallara uygun olarak blok yapılır. Şut saati sesli işaret verir. Sesli işaretten sonra B1, A1'e faul yapar.",Aşağıdaki örneğe göre bu durumda doğru karar hangisidir?,shot_clock,3,Şut saati ihlali,Atış saati değişmez (devam eder),Atış saati 14 saniyeye ayarlanır,,A,Şut saati ihlali,,"Bu, A takımı tarafından yapılan bir şut saati ihlalidir. B1'in A1’e karşı yaptığı faul, sportmenlik dışı ya da diskalifiye edici faul olmadıkça dikkate alınmayacaktır."
